897932,8.85,-2.39,3.32,0.01,-0.24,0.11
897945,8.91,-3.67,3.10,-0.02,-0.07,0.02
897958,8.27,-2.39,5.50,0.21,0.00,0.00
897971,9.16,-3.51,3.53,0.07,-0.18,0.18
897984,8.33,-2.66,4.73,0.12,-0.01,0.02
897997,8.70,-2.52,4.03,0.11,-0.09,0.00
898010,8.03,-1.57,5.43,0.35,0.04,-0.11
898023,9.21,-2.57,3.36,0.12,-0.04,-0.15
898036,8.20,-2.42,4.97,0.18,0.11,-0.18
898049,8.79,-2.48,4.30,-0.00,0.03,-0.13
898062,8.10,-1.84,5.11,0.07,-0.01,-0.11
898075,8.46,-1.95,4.16,-0.06,-0.14,-0.01
898088,8.20,-1.96,4.72,0.01,-0.17,0.19
898101,8.07,-1.78,4.53,-0.01,-0.25,0.28
898114,9.15,-2.85,3.50,-0.06,-0.25,0.34
898127,8.43,-2.35,4.17,-0.01,-0.08,0.23
898140,8.76,-2.96,4.18,0.04,0.01,0.06
898153,8.51,-2.40,4.61,0.07,0.07,-0.03
898166,8.98,-3.36,4.07,0.04,0.02,-0.01
898179,7.88,-1.30,5.93,0.22,0.23,-0.23
