,-2.27,4.24,0.01,0.11,-0.83
332844,8.55,-2.36,4.37,0.59,0.03,-0.53
332857,8.85,-2.30,3.68,0.15,-0.07,-0.49
332870,8.62,-1.75,3.29,-0.18,-0.09,-0.50
332883,8.77,-1.99,3.22,-0.39,-0.50,-0.02
332896,8.46,-1.55,1.82,-0.44,-0.58,0.07
332909,9.34,-2.55,2.64,-0.64,-0.54,0.15
332922,8.91,-3.46,1.51,-0.62,-0.56,0.14
332935,9.43,-3.33,2.06,-0.44,-0.43,0.04
332948,9.43,-3.60,2.02,-0.27,-0.32,-0.04
332961,9.60,-3.38,2.68,-0.21,0.03,-0.31
332974,8.24,-2.26,2.90,-0.20,0.04,-0.39
332987,9.99,-2.40,2.46,-0.15,0.08,-0.42
333000,8.53,-0.90,3.60,0.02,-0.08,-0.28
333013,9.75,-1.72,2.09,-0.03,-0.10,-0.17
333026,8.73,-1.18,2.34,-0.04,-0.05,-0.09
333039,9.28,-2.12,2.27,-0.43,-0.09,0.04
333052,9.53,-2.01,3.46,-0.43,-0.11,0.07
333065,9.45,-2.64,2.16,-0.52,-0.10,0.03
333078,8.95,-3.06,2.38,-0.49,0.02,-0.28
333091,10.28,-3.12,2.32,-0.38,0.30,-0.42
333104,8.12,-2.48,3.56,-0.19,0.36,-0.47
333117,8.38,-1.90,3.47,-0.00,0.27,-0.42
333130,9.16,-1.54,4.09,0.08,0.15,-0.28
333143,8.11,-1.00,2.86,-0.07,0.02,-0.16
333156,9.44,-1.75,3.02,-0.25,-0.00,-0.06
333169,8.66,-2.19,2.32,-0.43,-0.01,0.05
333182,9.32,-2.68,2.93,-0.41,0.04,0.02
333195,9.90,-2.57,3.48,-0.38,0.07,-0.05
333208,10.24,-2.69,2.63,-0.25,0.08,-0.12
333221,8.90,-2.62,2.13,-0.15,0.17,-0.14
333234,8.90,-2.48,3.15,-0.06,0.25,-0.18
333247,9.73,-1.76,2.97,-0.15,0.04,-0.10
333260,9.23,-1.75,2.33,-0.19,-0.00,0.01
333273,8.66,-1.50,3.07,-0.23,0.01,0.09
333286,8.75,-2.10,2.67,-0.39,-0.12,0.21
333299,9.49,-2.26,3.08,-0.44,-0.16,0.20
333312,9.47,-2.49,1.86,-0.49,-0.28,0.23
333325,9.83,-2.97,1.76,-0.42,-0.33,0.21
333338,9.45,-2.66,2.04,-0.35,-0.46,0.22
333351,9.64,-2.55,0.74,-0.40,-0.60,0.24
333364,10.11,-3.90,-1.81,-0.48,-0.38,0.23
333377,9.80,-3.83,-1.33,-0.74,-0.07,0.22
333390,9.63,-4.44,0.03,-0.16,0.27,0.10
333403,9.70,-2.85,2.58,0.52,0.52,-0.01
333416,9.98,-2.67,2.68,1.29,0.45,-0.51
333429,9.75,-2.47,2.06,0.52,0.17,-0.66
333442,9.96,-1.78,1.87,-0.02,-0.03,-0.73
333455,9.25,-1.17,1.76,-0.32,-0.24,-0.71
333468,9.30,-0.64,1.75,0.19,-0.20,-0.67
333481,9.29,0.39,2.15,0.59,-0.19,-0.56
333494,9.52,-0.11,2.57,0.11,-0.18,-0.18
333507,9.11,-0.60,2.45,-0.06,-0.18,-0.01
333520,8.99,-1.36,2.37,-0.14,-0.16,0.10
333533,9.18,-1.71,3.01,-0.07,-0.15,0.16
333546,9.81,-2.32,2.44,-0.14,-0.17,0.15
333559,9.42,-1.63,2.90,-0.10,-0.17,0.10
333572,10.02,-2.43,2.42,-0.18,-0.27,-0.04
333585,8.83,-2.24,1.94,-0.19,-0.26,-0.09
333598,9.70,-2.40,2.23,-0.12,-0.17,-0.15
333611,8.65,-3.17,2.52,-0.07,-0.05,-0.15
333624,9.25,-2.28,3.04,-0.00,-0.07,-0.19
333637,9.25,-2.39,2.66,-0.10,-0.03,-0.19
333650,9.98,-2.33,2.46,-0.00,-0.01,-0.23
333663,8.81,-2.70,3.69,0.12,0.06,-0.23
333676,9.30,-1.08,2.67,0.13,-0.03,-0.29
333689,9.79,-0.92,3.35,0.12,-0.03,-0.20
333702,8.91,-1.02,2.53,-0.12,-0.14,-0.12
333715,8.37,-2.05,3.40,-0.24,-0.19,-0.07
333728,9.50,-2.57,3.31,-0.30,-0.14,-0.03
333741,9.94,-2.84,1.77,-0.27,-0.04,-0.02
333754,9.38,-2.09,2.54,0.02,0.06,-0.04
