7,-1.81,1.76,-0.09,-0.10,0.27
352659,9.07,-3.28,0.60,-0.69,-0.06,0.18
352672,10.38,-2.53,1.52,-0.52,0.12,0.04
352685,8.36,-2.14,2.64,-0.18,0.32,0.06
352698,10.77,-1.60,1.55,-0.09,0.21,0.11
352711,7.63,-1.75,2.23,-0.22,0.10,0.21
352724,9.69,-2.38,2.64,-0.89,-0.05,0.28
352737,9.14,-2.72,0.90,-0.90,-0.18,0.33
352750,9.84,-3.09,1.05,-0.81,-0.12,0.29
352763,9.32,-3.09,1.21,-0.53,-0.05,0.16
352776,9.38,-2.66,1.13,-0.42,-0.09,0.15
352789,8.55,-2.74,1.28,-0.40,-0.10,0.22
352802,9.32,-2.77,1.98,-0.42,-0.08,0.21
352815,8.94,-2.85,0.52,-0.41,-0.14,0.23
352828,9.71,-2.82,1.53,-0.46,-0.11,0.20
352841,9.67,-3.29,1.03,-0.45,0.01,0.15
352854,8.53,-2.99,1.63,-0.32,0.05,0.10
352867,10.01,-3.15,1.41,-0.30,0.08,0.05
352880,9.02,-3.13,1.00,-0.26,0.10,0.03
352893,9.60,-2.56,2.80,-0.16,0.20,-0.04
352906,8.82,-2.67,1.76,-0.20,0.07,-0.01
352919,9.59,-2.78,0.58,-0.29,0.07,-0.07
352932,9.04,-2.65,2.31,-0.32,0.10,-0.12
352945,9.43,-2.56,0.42,-0.25,0.10,-0.13
352958,9.58,-2.53,2.13,-0.15,0.15,-0.11
352971,9.15,-2.10,1.27,-0.10,0.16,-0.12
352984,9.64,-2.57,1.86,-0.11,0.22,-0.08
352997,9.53,-2.55,1.77,-0.10,0.17,-0.08
353010,9.45,-2.69,2.41,-0.08,0.36,-0.14
353023,8.80,-2.54,2.48,-0.09,0.25,-0.10
353036,9.65,-2.50,1.70,-0.16,0.19,-0.13
353049,8.44,-2.24,2.83,-0.09,0.22,-0.11
353062,9.77,-2.58,2.17,-0.19,0.14,-0.13
353075,9.39,-2.60,0.83,-0.19,0.13,-0.13
353088,8.69,-2.49,3.59,-0.02,0.35,-0.20
353101,8.91,-2.43,2.42,-0.10,0.14,-0.18
353114,9.47,-2.39,0.71,-0.09,0.06,-0.16
353127,9.17,-2.25,1.85,-0.27,0.10,-0.09
353140,9.82,-2.36,0.54,-0.25,0.08,-0.07
353153,9.45,-2.23,2.29,-0.16,0.10,-0.06
353166,9.42,-1.74,1.84,-0.21,0.02,-0.03
353179,9.62,-1.80,1.46,-0.44,-0.27,0.05
353192,9.75,-2.21,-0.18,-0.57,-0.49,0.07
353205,10.45,-2.07,-3.05,-0.66,-0.40,0.11
353218,9.90,-3.99,-1.59,-0.32,0.39,0.17
353231,10.49,-3.74,-1.82,0.49,0.72,0.15
353244,9.92,-2.82,0.84,1.67,0.92,-0.01
353257,9.90,-1.28,3.00,1.60,0.49,-0.44
353270,10.53,-0.30,1.86,0.48,0.09,-0.43
353283,8.77,-0.85,3.01,-0.49,-0.23,-0.20
353296,10.03,-0.94,1.96,-0.45,-0.59,-0.16
353309,9.10,-1.09,1.89,-0.04,-0.63,-0.13
353322,9.15,-0.00,1.38,0.08,-0.74,-0.06
353335,9.97,-1.86,1.07,-0.53,-0.69,0.25
353348,9.11,-1.73,1.00,-0.65,-0.61,0.33
353361,9.98,-2.20,0.86,-0.39,-0.53,0.28
353374,9.38,-2.49,1.22,-0.08,-0.22,0.22
353387,10.30,-2.51,1.26,-0.09,-0.19,0.19
353400,8.88,-2.89,1.74,-0.10,-0.14,0.16
353413,9.34,-2.15,1.51,0.04,-0.11,0.06
353426,9.56,-1.96,2.11,0.06,-0.17,0.07
353439,9.29,-2.48,1.94,-0.09,-0.26,0.05
353452,9.37,-2.94,1.49,-0.14,-0.27,0.02
353465,9.73,-2.63,1.25,-0.13,-0.13,0.01
353478,9.52,-3.25,2.03,-0.04,-0.04,0.01
353491,9.31,-2.38,1.79,0.06,-0.02,-0.02
353504,8.46,-2.64,2.18,0.06,0.04,0.01
353517,8.18,-2.63,2.16,0.00,0.04,0.02
353530,9.99,-1.69,1.41,-0.05,-0.02,-0.02
353543,8.50,-2.78,3.29,0.08,0.12,0.09
353556,9.85,-2.70,2.34,-0.07,-0.03,0.05
353569,9.33,-1.92,1.10,-0.11,-0.05,0.06
353582,9.30,-2.62,1.87,-0.23,-0.10,0.08
353595,8.83,-2.63,2.65,-0.14,-0.09,0.12
353608,9.56,-2.82,1.29,-0.20,-0.07,0.13
353621,9.66,-3.47,1.11,-0.26,0.04,0.09
353634,8.10,-1.92,2.34,0.01,0.11,0.08
353647,8.85,-3.56,2.07,-0.16,0.03,0.07
353660,7.57,-3.57,3.23,0.11,0.23,0.01
353673,8.93,-2.89,2.40,0.03,0.12,-0.07
353686,9.90,-2.33,1.91,0.02,0.09,-0.08
353699,9.03,-2.84,2.14,0.01,0.09,-0.03
353712,9.42,-2.28,2.16,0.00,0.07,-0.06
353725,8.56,-2.67,1.79,-0.01,0.08,-0.03
353738,9.29,-2.57,2.20,0.09,0.12,0.00
353751,8.99,-2.75,2.03,-0.01,0.14,-0.02
353764,9.71,-2.67,1.82,0.01,0.18,-0.02
353777,8.76,-2.97,2.59,0.00,0.20,-0.05
353790,9.55,-2.22,1.41,0.03,0.18,-0.12
353803,8.86,-2.46,2.70,0.12,0.20,-0.13
353816,9.82,-2.78,2.40,0.05,0.18,-0.13
353829,10.19,-1.97,1.54,0.00,0.12,-0.09
353842,7.85,-2.82,4.60,0.16,0.20,-0.02
353855,9.45,-0.72,1.64,-0.04,-0.00,-0.03
353868,9.39,-3.21,3.01,-0.10,-0.01,0.13
353881,9.13,-1.42,2.83,-0.11,-0.15,0.11
353894,9.38,-1.93,1.37,-0.37,-0.29,0.11
353907,9.92,-2.10,1.27,-0.29,-0.24,0.11
353920,10.63,-2.82,1.76,-0.22,-0.23,0.10
353933,7.04,-5.29,2.50,-0.18,0.01,0.12
353946,8.42,-3.69,3.32,0.01,-0.09,-0.03
353959,8.76,-2.78,2.77,0.12,-0.16,0.04
353972,9.89,-2.24,2.49,-0.01,-0.18,0.08
353985,9.82,-2.89,2.78,-0.17,-0.42,0.04
353998,8.81,-2.94,3.90,0.04,-0.42,0.07
354011,8.84,-2.63,3.53,-0.08,-0.51,0.05
354024,10.50,-0.82,1.27,-0.36,-0.93,-0.01
354037,8.87,-2.85,3.15,-0.28,-0.73,0.11
354050,8.36,-3.55,4.20,-0.44,-0.62,0.13
354063,9.52,-3.26,1.63,-0.48,-0.71,0.10
354076,8.71,-3.05,3.01,-0.12,-0.28,0.23
354089,8.69,-2.90,4.82,-0.05,-0.25,0.32
354102,8.50,-2.18,5.66,-0.00,-0.46,0.24
354115,8.59,-2.01,5.01,-0.98,-1.20,0.14
354128,8.57,-2.12,4.56,-1.76,-1.53,0.20
354141,8.86,-2.31,2.67,-2.31,-1.82,0.22
354154,9.88,-2.23,-0.12,-1.75,-1.83,0.16
354167,11.66,-2.59,-2.42,-1.54,-1.47,0.12
354180,12.31,-3.23,-4.21,-1.46,-0.63,0.08
354193,9.94,-2.69,0.34,-0.45,0.76,-0.20
354206,10.18,-2.35,-0.84,0.68,1.17,-0.36
354219,9.32,-1.63,4.12,1.51,1.38,-0.45
354232,8.63,-0.95,3.24,0.15,0.64,-0.19
354245,8.05,-0.46,5.24,-0.56,0.10,0.01
354258,8.68,-1.23,0.94,-1.33,-0.45,0.15
354271,9.55,-3.31,-0.65,-1.86,-0.68,0.37
354284,9.99,-3.18,-0.89,-1.74,-0.51,0.36
354297,10.10,-3.93,-1.50,-1.25,-0.41,0.36
354310,9.74,-3.00,-0.45,-0.24,0.23,0.08
354323,9.71,-3.61,-1.34,-0.32,0.34,0.00
354336,10.17,-3.89,-1.59,-0.34,0.53,-0.09
354349,8.23,-3.16,0.20,-0.09,0.65,-0.15
354362,9.16,-2.90,-0.17,-0.16,0.43,-0.22
354375,8.69,-2.45,1.05,-0.30,0.25,-0.12
354388,10.27,-2.55,0.40,-0.57,0.17,-0.06
354401,9.41,-2.85,-0.01,-0.52,0.20,0.01
354414,9.49,-3.02,-1.02,-0.38,0.14,0.04
354427,9.44,-2.64,0.03,-0.38,0.19,0.03
354440,8.85,-3.49,-0.98,-0.39,0.21,0.05
354453,9.91,-3.18,-0.07,-0.30,0.27,-0.02
354466,9.45,-3.24,0.35,-0.24,0.25,-0.03
354479,9.44,-3.08,-0.21,-0.22,0.10,-0.03
354492,9.31,-2.55,0.77,-0.23,0.07,-0.04
354505,9.37,-3.23,-0.23,-0.23,0.05,0.01
354518,10.29,-3.69,-0.50,-0.15,0.21,-0.06
354531,8.80,-2.39,0.03,-0.05,0.22,-0.09
354544,9.36,-3.21,0.04,-0.08,0.26,-0.07
354557,9.66,-2.91,0.46,0.07,0.41,-0.07
354570,9.22,-2.66,0.53,0.11,0.44,-0.07
354583,9.37,-2.82,1.02,0.08,0.39,-0.06
354596,9.59,-2.67,0.50,0.03,0.38,-0.08
354609,9.33,-2.53,0.55,0.05,0.37,-0.05
354622,9.70,-3.27,-0.35,-0.02,0.38,-0.02
354635,9.24,-3.31,0.56,0.22,0.70,-0.09
354648,9.48,-3.02,1.00,0.38,0.75,-0.18
354661,9.00,-2.90,1.43,0.38,0.69,-0.23
354674,9.30,-2.38,1.04,0.34,0.64,-0.29
354687,9.36,-2.51,2.07,0.16,0.61,-0.37
354700,9.60,-2.62,1.37,0.11,0.53,-0.36
354713,9.42,-2.14,1.66,0.21,0.53,-0.34
354726,8.92,-2.23,0.91,0.14,0.45,-0.34
354739,9.94,-2.43,0.88,0.04,0.48,-0.35
354752,9.13,-2.18,2.14,-0.04,0.53,-0.37
354765,7.76,-1.37,0.97,0.06,0.49,-0.28
354778,9.84,-2.90,1.52,0.01,0.52,-0.23
354791,9.25,-1.67,1.44,0.14,0.47,-0.22
354804,9.25,-1.68,1.94,-0.10,0.16,-0.16
354817,9.14,-1.56,1.77,-0.26,-0.03,-0.09
354830,9.83,-2.01,0.22,-0.31,-0.12,0.00
354843,10.19,-2.49,0.72,-0.22,-0.10,0.06
354856,9.50,-2.14,1.56,-0.21,-0.18,0.04
354869,9.67,-1.81,0.32,-0.31,-0.32,0.03
354882,9.95,-2.28,-0.82,-0.35,-0.22,0.04
354895,9.97,-2.93,-1.26,-0.30,-0.08,0.06
354908,10.05,-3.02,-1.78,0.05,0.16,0.05
354921,9.79,-2.89,-0.60,0.99,0.71,0.02
354934,9.68,-2.31,-0.16,1.40,0.91,0.03
354947,9.40,-1.56,2.08,1.78,0.99,0.05
354960,10.52,0.38,3.48,1.89,0.65,0.25
