,8.79,-5.13,3.20,0.17,0.05,0.08
113779,8.48,-4.06,0.12,-0.73,-0.70,-0.14
113792,8.55,-4.03,0.14,-0.85,-0.66,-0.08
113805,8.61,-4.29,-0.13,-0.98,-0.57,0.03
113818,10.95,-4.86,-2.50,-1.04,-0.39,0.06
113831,14.90,-5.89,-7.22,-1.54,0.49,-0.07
113844,9.04,-4.83,-0.69,-0.32,2.37,-0.36
113857,8.45,-4.61,3.73,2.28,2.74,-0.44
113870,7.31,-4.19,5.41,3.52,2.50,-0.45
113883,6.89,-1.49,3.33,2.66,1.74,-0.40
113896,7.71,-2.23,3.16,1.70,1.35,-0.13
113909,6.47,-2.18,4.41,0.76,1.14,0.00
113922,7.92,-4.83,4.14,-0.75,0.50,0.16
113935,8.32,-5.52,2.89,-1.28,0.26,0.06
113948,8.83,-7.13,1.59,-1.93,0.13,-0.06
113961,8.90,-6.73,0.55,-2.02,0.22,-0.41
113974,7.61,-6.60,1.14,-1.20,0.41,-0.52
113987,8.44,-6.22,1.56,0.07,0.63,-0.60
114000,8.24,-4.32,2.87,1.01,0.74,-0.58
114013,8.00,-3.26,3.10,0.58,0.56,-0.55
114026,7.94,-3.65,2.71,-0.01,0.44,-0.46
114039,7.74,-4.01,2.10,-0.53,0.39,-0.44
114052,8.57,-4.30,3.00,-0.89,0.19,-0.22
114065,8.27,-4.44,2.06,-0.63,0.12,-0.11
114078,8.89,-4.48,1.14,-0.47,0.15,-0.11
114091,8.36,-5.17,1.43,-0.27,0.23,-0.09
114104,8.91,-4.69,1.73,-0.30,0.34,-0.22
114117,8.01,-5.13,2.43,-0.38,0.30,-0.26
114130,9.07,-4.91,1.42,-0.39,0.36,-0.42
114143,8.37,-4.19,2.11,-0.35,0.41,-0.46
114156,7.99,-3.89,2.76,-0.20,0.34,-0.39
114169,7.71,-3.67,2.23,-0.46,0.21,-0.29
114182,7.97,-3.61,2.86,-0.60,0.12,-0.18
114195,8.18,-4.36,2.28,-0.72,-0.05,-0.06
114208,8.28,-4.72,1.17,-0.56,-0.28,0.04
114221,8.73,-5.09,0.06,-0.61,-0.26,0.01
114234,8.93,-5.32,0.20,-0.59,-0.11,-0.01
114247,8.61,-5.56,0.59,0.07,-0.00,-0.02
114260,8.90,-4.88,0.65,0.38,0.07,-0.06
114273,9.13,-4.78,0.97,0.53,0.14,-0.11
114286,8.99,-4.67,0.76,0.31,0.15,-0.19
114299,8.20,-4.22,1.81,-0.10,0.14,-0.19
114312,8.35,-4.29,1.98,-0.11,0.09,-0.12
114325,8.73,-3.96,0.91,0.19,-0.02,-0.03
114338,8.63,-3.98,1.46,0.43,-0.00,0.10
114351,8.62,-4.03,1.82,0.31,-0.01,0.13
114364,8.60,-4.13,2.21,0.18,-0.02,0.15
114377,9.05,-4.90,1.26,0.14,0.19,0.05
114390,8.69,-4.91,1.00,0.16,0.29,-0.00
114403,8.52,-4.99,2.12,0.26,0.35,-0.05
114416,8.48,-4.22,2.97,0.44,0.17,-0.03
114429,8.70,-4.24,2.56,0.38,0.09,-0.02
114442,8.28,-4.11,2.03,0.28,0.04,-0.03
114455,8.74,-4.32,2.62,0.04,0.09,-0.07
114468,8.84,-4.59,2.27,-0.16,0.12,-0.15
114481,8.72,-4.38,2.15,-0.13,0.22,-0.22
114494,8.35,-4.35,2.28,0.10,0.29,-0.23
114507,8.56,-4.39,2.35,0.18,0.25,-0.21
114520,8.55,-4.22,2.60,0.23,0.15,-0.18
114533,8.88,-3.88,1.26,-0.10,-0.05,-0.19
114546,8.98,-4.19,0.59,-0.29,-0.00,-0.20
114559,8.98,-4.31,0.50,-0.28,0.15,-0.21
114572,8.90,-4.77,0.75,-0.16,0.46,-0.24
114585,8.89,-4.67,0.67,-0.02,0.61,-0.28
114598,8.89,-4.80,0.77,0.09,0.76,-0.31
114611,8.72,-3.90,4.42,0.40,0.89,-0.34
114624,9.22,-3.19,3.81,1.37,0.38,-0.66
114637,9.03,-2.50,3.63,1.76,0.21,-0.81
114650,8.80,-2.61,3.59,0.98,-0.04,-0.85
114663,8.45,-2.46,2.57,-0.84,-0.47,-0.59
114676,9.13,-2.04,1.58,-0.76,-0.48,-0.54
114689,9.20,-2.33,2.58,-0.16,-0.39,-0.48
114702,9.38,-1.90,2.70,0.16,-0.46,-0.29
114715,9.80,-2.31,2.04,-0.15,-0.53,-0.20
114728,8.76,-2.65,2.75,-0.37,-0.61,-0.17
114741,8.84,-3.69,1.48,-0.51,-0.67,-0.14
114754,8.81,-4.03,1.10,-0.37,-0.60,-0.18
114767,9.82,-3.62,0.63,-0.17,-0.46,-0.23
114780,9.30,-3.27,1.54,0.06,-0.32,-0.30
114793,8.68,-3.23,1.55,0.09,-0.27,-0.31
114806,9.95,-2.42,1.43,0.13,-0.23,-0.31
114819,8.60,-3.37,3.30,0.15,-0.15,-0.24
114832,9.83,-1.96,1.58,0.07,-0.22,-0.22
114845,8.73,-3.32,3.29,-0.02,-0.20,-0.15
114858,8.46,-3.67,1.29,-0.38,-0.23,-0.09
114871,9.10,-3.09,1.41,-0.40,-0.20,-0.07
114884,9.95,-4.07,1.20,-0.24,-0.06,0.02
114897,8.76,-3.33,1.90,0.08,-0.02,0.04
114910,9.20,-2.68,2.21,0.23,0.06,0.07
114923,9.10,-2.63,3.00,0.17,0.05,0.12
114936,9.42,-2.90,3.25,0.01,-0.06,0.10
114949,9.68,-3.59,2.19,-0.20,-0.13,0.12
114962,8.62,-3.19,2.51,-0.15,-0.17,0.13
114975,9.60,-3.92,1.77,-0.27,-0.17,0.07
114988,8.86,-3.21,1.29,-0.08,-0.08,0.07
115001,8.84,-3.29,1.83,0.01,0.02,0.06
115014,9.26,-3.76,2.22,0.04,0.13,0.06
115027,9.21,-3.63,2.48,0.04,0.16,-0.00
115040,8.93,-2.86,2.65,0.13,0.13,-0.01
115053,9.40,-3.52,3.15,0.11,0.07,0.01
115066,9.56,-3.28,2.76,0.16,-0.04,0.01
115079,9.15,-2.51,2.87,0.09,-0.08,-0.03
115092,8.46,-2.99,2.21,-0.00,-0.12,0.02
115105,9.02,-3.43,2.95,-0.01,0.04,0.04
115118,9.14,-2.30,2.24,-0.05,-0.02,0.04
115131,9.29,-4.05,0.96,-0.11,0.06,0.08
115144,8.97,-2.80,3.05,0.09,0.26,0.06
115157,8.89,-2.84,2.23,0.16,0.18,0.08
115170,8.84,-3.43,2.96,0.25,0.20,0.07
115183,9.74,-2.70,2.55,0.19,0.06,0.08
115196,8.29,-3.10,3.51,0.07,0.03,0.10
115209,9.04,-3.22,2.84,0.03,-0.04,0.11
115222,8.44,-3.08,3.34,0.03,-0.07,0.13
115235,8.99,-2.86,2.79,-0.14,-0.15,0.15
115248,8.65,-3.79,3.02,-0.19,-0.12,0.19
115261,8.57,-3.23,2.29,-0.20,-0.17,0.16
115274,9.05,-3.82,2.88,0.01,-0.12,0.16
115287,8.87,-3.48,2.77,0.12,-0.23,0.11
115300,8.77,-4.00,3.20,0.27,-0.22,0.12
115313,9.21,-3.26,3.07,0.09,-0.45,0.06
115326,9.13,-3.39,2.94,0.06,-0.50,0.06
115339,8.61,-4.98,3.98,-0.00,-0.41,0.04
115352,7.05,-4.07,4.20,0.03,-0.44,-0.07
115365,11.60,-2.07,0.98,-0.06,-0.43,-0.23
115378,7.83,-4.73,4.88,0.19,-0.02,-0.10
115391,8.54,-2.08,3.37,0.05,-0.19,-0.08
115404,8.47,-3.43,3.66,0.01,-0.07,0.01
115417,8.51,-3.04,5.05,-0.17,-0.06,0.08
