,9.17,-1.74,3.03,-0.04,-0.05,0.07
751620,9.21,-2.17,2.83,-0.02,-0.04,0.01
751633,9.22,-2.22,2.80,-0.02,-0.03,0.01
751646,9.21,-2.20,2.80,-0.01,-0.03,0.00
751659,9.21,-2.13,2.84,0.01,-0.03,0.00
751672,9.20,-2.08,2.86,0.01,-0.03,0.00
751685,9.21,-2.19,2.79,0.00,-0.03,0.00
751698,9.23,-2.26,2.78,-0.00,-0.02,0.01
751711,9.22,-2.32,2.82,0.01,-0.02,-0.00
751724,9.21,-2.23,2.87,0.03,-0.02,-0.01
751737,9.20,-1.95,2.91,0.01,-0.03,-0.01
751750,9.21,-1.97,2.87,-0.01,-0.04,0.00
751763,9.20,-2.06,2.85,-0.03,-0.04,0.01
751776,9.22,-2.18,2.81,-0.01,-0.04,0.02
751789,9.23,-2.23,2.79,0.01,-0.04,0.02
751802,9.22,-2.28,2.79,0.01,-0.03,0.02
751815,9.23,-2.31,2.79,0.00,-0.03,-0.01
751828,9.22,-2.24,2.81,0.01,-0.03,-0.01
751841,9.21,-2.17,2.81,0.02,-0.02,-0.02
751854,9.20,-2.10,2.84,0.02,-0.02,-0.02
751867,9.20,-2.08,2.89,0.01,-0.02,-0.01
751880,9.20,-2.02,2.91,0.01,-0.03,-0.01
751893,9.19,-1.93,2.90,-0.01,-0.04,0.01
751906,9.20,-1.94,2.86,-0.03,-0.04,0.02
751919,9.22,-2.06,2.82,-0.05,-0.04,0.04
751932,9.21,-2.19,2.87,-0.06,-0.04,0.04
751945,9.24,-2.30,2.72,-0.06,-0.04,0.04
751958,9.23,-2.36,2.77,-0.05,-0.04,0.03
751971,9.21,-2.15,2.86,-0.03,-0.03,0.01
751984,9.21,-2.12,2.83,0.01,-0.03,0.02
751997,9.20,-2.03,2.84,0.02,-0.03,0.02
752010,9.19,-2.02,2.90,0.01,-0.03,0.03
752023,9.21,-2.22,2.81,-0.06,-0.05,0.05
752036,9.22,-2.33,2.80,-0.06,-0.05,0.04
752049,9.22,-2.36,2.81,-0.05,-0.04,0.03
752062,9.22,-2.30,2.77,-0.01,-0.04,0.02
752075,9.21,-2.14,2.82,0.01,-0.03,0.01
752088,9.20,-2.09,2.82,0.01,-0.03,0.01
752101,9.22,-2.16,2.74,-0.02,-0.05,0.02
752114,9.22,-2.26,2.71,-0.03,-0.05,0.02
752127,9.23,-2.30,2.71,-0.02,-0.05,0.02
752140,9.23,-2.26,2.68,-0.01,-0.04,0.01
752153,9.22,-2.32,2.69,-0.01,-0.03,0.00
752166,9.23,-2.31,2.75,-0.00,-0.02,-0.00
752179,9.20,-2.28,2.83,0.02,-0.01,-0.01
752192,9.20,-2.21,2.89,0.02,-0.01,-0.02
752205,9.18,-2.17,2.96,0.02,-0.01,-0.02
752218,9.18,-2.16,2.92,-0.00,-0.03,-0.01
752231,9.20,-2.08,2.86,-0.01,-0.04,-0.01
752244,9.21,-2.02,2.75,-0.03,-0.05,-0.01
752257,9.21,-2.25,2.67,-0.04,-0.05,0.01
752270,9.22,-2.21,2.65,-0.01,-0.04,0.01
752283,9.23,-2.29,2.70,0.01,-0.02,0.02
752296,9.22,-2.32,2.79,0.03,-0.01,0.01
752309,9.20,-2.29,2.83,0.03,-0.00,0.00
752322,9.20,-2.32,2.89,0.03,-0.00,-0.01
752335,9.21,-2.33,2.90,0.02,-0.01,-0.02
752348,9.22,-2.18,2.88,0.01,-0.02,-0.04
752361,9.19,-2.09,2.91,0.02,-0.02,-0.05
752374,9.19,-2.03,2.93,0.02,-0.02,-0.05
752387,9.14,-1.46,3.03,0.00,-0.03,-0.00
752400,9.14,-1.51,3.03,-0.04,-0.05,0.05
752413,9.16,-1.71,2.99,-0.11,-0.07,0.09
752426,9.15,-2.23,3.02,-0.27,-0.12,0.14
752439,9.18,-2.63,2.94,-0.38,-0.16,0.13
752452,9.25,-3.03,2.76,-0.51,-0.19,0.08
752465,9.28,-3.37,2.55,-0.70,-0.23,-0.08
752478,9.23,-3.18,2.48,-0.72,-0.23,-0.16
752491,8.96,-2.83,2.32,-0.68,-0.20,-0.21
752504,8.29,-2.39,1.77,-0.43,-0.00,-0.03
752517,9.98,-3.30,2.06,-0.22,0.19,0.16
752530,6.85,-2.27,2.84,-0.07,0.24,0.17
